taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,kingdom,kingdomKey,phylum,phylumKey,class,classKey,order,orderKey,family,familyKey,genus,genusKey,species,speciesKey,iucnRedListCategory
8020115,"Chaetococcus bambusae ",8020115,"Chaetococcus bambusae ",1,SPECIES,ACCEPTED,Animalia,1,Arthropoda,54,Insecta,216,Hemiptera,809,Pseudococcidae,4534,Chaetococcus,2081043,Chaetococcus bambusae,8020115,NE
1367523,"Chaetomymar bagicha ",1367523,"Chaetomymar bagicha ",1,SPECIES,ACCEPTED,Animalia,1,Arthropoda,54,Insecta,216,Hymenoptera,1457,Mymaridae,9444,Chaetomymar,1367511,Chaetomymar bagicha,1367523,NE
2925655,Duranta erecta L.,2925655,Duranta erecta L.,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Lamiales,408,Verbenaceae,6689,Duranta,2925654,Duranta erecta,2925655,LC
1858291,"Phereoeca allutella ",1858291,"Phereoeca allutella ",1,SPECIES,ACCEPTED,Animalia,1,Arthropoda,54,Insecta,216,Lepidoptera,797,Tineidae,9412,Phereoeca,1858281,Phereoeca allutella,1858291,NE
5289949,Digitaria divaricatissima  Hughes,5289949,Digitaria divaricatissima  Hughes,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Poaceae,3073,Digitaria,2704525,Digitaria divaricatissima,5289949,NE
4963767,Bostrycapulus calyptraeformis,4963767,Bostrycapulus calyptraeformis,1,SPECIES,ACCEPTED,Animalia,1,Mollusca,52,Gastropoda,225,Littorinimorpha,7390893,Calyptraeidae,6764,Bostrycapulus,4609733,Bostrycapulus calyptraeformis,4963767,NE
1309709,"Kleidotoma Westwood, 1833",1309709,"Kleidotoma Westwood, 1833",1,GENUS,ACCEPTED,Animalia,1,Arthropoda,54,Insecta,216,Hymenoptera,1457,Figitidae,6990,Kleidotoma,1309709,,,
2095942,"Hypogeococcus pungens Granara de Willink, 1981",2095942,"Hypogeococcus pungens Granara de Willink, 1981",1,SPECIES,ACCEPTED,Animalia,1,Arthropoda,54,Insecta,216,Hemiptera,809,Pseudococcidae,4534,Hypogeococcus,2095928,Hypogeococcus pungens,2095942,NE
5359676,Glycine microphylla  Tindale,5359676,Glycine microphylla  Tindale,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Glycine,7968287,Glycine microphylla,5359676,NE
2177741,"Hasarius adansoni ",2177741,"Hasarius adansoni ",1,SPECIES,ACCEPTED,Animalia,1,Arthropoda,54,Arachnida,367,Araneae,1496,Salticidae,5644,Hasarius,2177729,Hasarius adansoni,2177741,LC
5395582,Blumea sessiliflora Decne.,9248813,Blumea sessiliflora DC.,1,SPECIES,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Blumea,3119250,Blumea sessiliflora,9248813,NE
1375346,"Metaphycus portoricensis ",1375346,"Metaphycus portoricensis ",1,SPECIES,ACCEPTED,Animalia,1,Arthropoda,54,Insecta,216,Hymenoptera,1457,Encyrtidae,9440,Metaphycus,1374887,Metaphycus portoricensis,1375346,NE
2695451,Tillandsia caput-medusae É.Morren,2695451,Tillandsia caput-medusae É.Morren,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Bromeliaceae,3740,Tillandsia,8279994,Tillandsia caput-medusae,2695451,NE
1538205,"Ocyptamus dimidiatus ",1538205,"Ocyptamus dimidiatus ",1,SPECIES,ACCEPTED,Animalia,1,Arthropoda,54,Insecta,216,Diptera,811,Syrphidae,6920,Ocyptamus,1537736,Ocyptamus dimidiatus,1538205,NE
2703746,Bromus tectorum L.,2703746,Bromus tectorum L.,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Poaceae,3073,Bromus,2703642,Bromus tectorum,2703746,NE
